Bundesland,Hochschulen,Stud_total,Stud_uni,Stud_ph,Stud_fh,Stud_vfh,Stud_per_hs
Baden-Wuerttemberg,70,357290,178032,29335,144185,5738,5104
Bayern,48,368218,237931,4229,122046,4012,7671
Berlin,44,171274,113592,5387,51818,477,3893
Brandenburg,12,49642,36371,0,12305,966,4137
Bremen,8,35007,19876,898,13927,306,4376
Hamburg,20,97208,54179,2116,40237,676,4860
Hessen,33,237813,152644,2441,79836,3342,7206
Mecklenburg-Vorpommern,7,38798,25026,519,12824,429,5543
Niedersachsen,29,192143,129813,2492,58740,1098,6626
Nordrhein-Westfalen,72,721347,476785,7671,226102,10789,10019
Rheinland-Pfalz,19,122515,79783,601,39583,2548,6448
Saarland,6,29506,17710,845,10553,398,4918
Sachsen,24,111970,79231,2874,28929,936,4665
Sachsen-Anhalt,10,54533,32940,1250,20066,277,5453
Schleswig-Holstein,12,56400,33680,1011,19992,1717,4700
Thueringen,11,50915,34733,800,15008,374,4629
