Bundesland,Stud_uni,Stud_ph,Stud_fh,Stud_vfh
Baden-Wuerttemberg,178032,29335,144185,5738
Bayern,237931,4229,122046,4012
Berlin,113592,5387,51818,477
Brandenburg,36371,0,12305,966,
Bremen,19876,898,13927,306
Hamburg,54179,2116,40237,676
Hessen,152644,2441,79836,3342
Mecklenburg-Vorpommern,25026,519,12824,429
Niedersachsen,129813,2492,58740,1098
Nordrhein-Westfalen,476785,7671,226102,10789
Rheinland-Pfalz,79783,601,39583,2548
Saarland,17710,845,10553,398
Sachsen,79231,2874,28929,936
Sachsen-Anhalt,32940,1250,20066,277
Schleswig-Holstein,33680,1011,19992,1717
Thueringen,34733,800,15008,374
